101	17762	4	11.96
347	184	8	15.76
1303	886	3	20.7
1301	102	35	38.38
5643	198	3	21.49
112	9419	3	14.66
727	6467	5	59.86
3562	350	4	31.83
560	442	29	225.71
5305	197	4	30.28
103	3842	10	20.49
2083	115	12	44.9
524	1972	3	20.35
102	4652	14	35.46
581	2507	12	125.77
101	6880	12	25.5
406	15325	5	70.51
869	346	3	11.2
11390	3196	3	49.32
3139	124	3	8.65
103	6106	6	13.98
1444	102	33	40.03
176	10020	4	36.92
101	2750	15	5.37
1114	2389	6	62.81
292	800	12	69.68
1245	107	14	21.81
106	1767	7	4.42
434	104	102	172.25
107	10691	5	27.06
2059	946	4	35.48
19176	83	5	89.15
14314	276	6	79.42
129	405	9	7.85
1137	1762	3	24.94
249	114	40	45.57
1874	1831	3	29.19
1207	2436	3	27.87
7375	106	7	29.11
5325	887	3	32.28
248	5441	3	23.18
2413	986	3	26.31
4009	105	43	290.8
11525	644	9	141.15
499	138	8	13.96
2571	819	3	25.47
4453	118	3	10
4553	39	3	15.33
218	821	6	22.3
2194	118	8	27.26
183	134	20	17.29
247	1598	3	13.17
1781	481	11	98.56
12652	104	7	40.58
2836	190	6	38.95
317	1000	20	152.99
131	4695	3	13.41
2527	2027	3	32.29
585	2852	4	34.25
7744	1785	8	127.51
3830	197	3	18.21
5723	151	10	88.35
1094	4272	4	44.83
101	4152	9	3.88
3832	105	8	19.47
102	3533	7	4.84
9747	14	3	5.57
223	263	18	58.75
323	251	8	21.11
222	387	7	17.19
439	8439	8	102.57
104	128	586	574.8
105	741	46	81.54
994	232	3	9.07
391	608	4	15.17
103	7190	3	4.48
3013	113	4	9.85
1985	107	17	51.13
963	109	11	14.2
219	141	18	24.43
17743	8	4	43.51
856	1736	38	493.2
11817	102	3	6.5
101	19067	4	14.4
3888	151	6	39.06
2987	195	3	16.1
230	9221	5	51.31
9756	110	4	22.09
201	785	13	64.44
714	1839	4	31.63
110	1290	9	15.31
3576	142	17	140.4
343	9180	3	30.57
420	389	4	11.96
9302	101	6	9.55
1132	117	114	808.07
210	135	22	28.86
7813	2877	9	158.06
149	960	5	12.85
101	16318	4	11.96
176	168	20	32.43
177	547	4	6.4
7847	104	4	10.82
1356	240	4	17.78
2827	108	3	4.24
1290	294	81	906.72
981	106	12	4.54
920	187	3	6.9
11498	637	3	37.53
4113	727	4	40.55
151	4803	4	25.11
948	876	6	44.87
443	1220	4	22.76
2958	892	3	27.21
849	8095	9	129.92
622	1031	3	16.48
116	833	12	19.96
151	743	10	33.16
178	4138	3	17.86
221	10978	5	54.21
2108	307	38	418.48
419	296	9	34.47
9792	103	3	6.79
10811	102	5	15.44
743	106	17	6.98
2243	9	5	24.83
414	481	21	140.27
897	468	5	27.65
415	107	458	2793.93
236	102	182	83.52
2878	1952	3	33.16
328	150	6	4.99
25655	661	3	50.74
111	1527	7	11.76
113	1759	4	5.16
122	7104	3	14.91
4465	435	4	36.59
3124	216	3	17.17
721	1473	4	29.39
150	1614	6	25.08
101	13177	3	4.09
11332	102	6	21.23
303	558	7	28.23
1325	1364	3	24.09
604	4231	3	27.47
122	675	8	9.33
2500	9594	12	229.35
147	282	8	6.89
106	13770	3	12.8
102	13078	5	19.1
8775	1041	5	69.37
784	696	7	47.89
379	150	6	6.44
102	8620	7	20.49
409	182	6	10.88
3988	247	8	70.75
136	10694	3	22.48
14509	2047	3	48.67
110	3043	3	5.23
3333	110	3	5.94
264	112	40	44.43
1859	240	3	14.1
6306	106	7	25.36
108	441	14	5.28
6523	5583	5	87.2
114	1228	17	51.12
614	115	18	30.47
4120	127	3	11.52
14422	941	4	59.91
5592	110	4	15.38
1406	560	10	84.58
4572	108	3	7.62
10837	102	3	5.98
8789	105	8	40.41
389	187	4	4.46
382	1362	3	15.24
128	9242	7	58.57
23409	285	3	39.88
1071	201	11	58.81
2637	292	4	26.49
913	452	8	51.59
1300	960	3	21.3
10671	109	5	31.01
4610	118	4	16.1
101	7584	5	4
1120	5010	4	46.82
103	5012	8	18.5
3136	103	12	22.46
105	1044	26	38.91
104	397	43	15.12
4886	103	4	4.27
8537	175	4	34.59
7895	922	5	66.05
13142	123	3	21.54
286	943	81	824.79
102	3227	22	54.07
101	3878	16	17.94
102	1867	35	67.01
286	2616	14	127.89
8219	7876	6	119.06
133	1037	8	23.2
610	2857	3	24.3
7067	146	5	38.99
488	240	6	17.31
1095	191	12	64.44
278	128	32	65.52
343	815	37	319.06
314	2621	3	18.81
29069	17414	3	79.44
5003	103	4	4.43
1099	194	4	13.44
7591	2685	3	44.09
431	5483	4	38.9
630	3194	5	47.71
186	189	196	1271.36
188	929	3	6.98
215	769	10	45.37
218	1394	5	23.19
128	749	19	63.35
558	114	11	8.09
2569	16	3	12.59
5508	14	14	47.23
2125	653	47	634.24
6537	104	18	101.45
563	3515	3	25.41
7684	644	3	33.28
162	810	4	8.46
2203	2782	3	33.71
291	447	5	14.03
28852	14	3	19.66
968	122	12	30.22
1575	107	9	12.14
3938	9	3	16.36
394	731	14	94.23
998	471	5	28.98
582	104	38	27.17
2629	101	21	14.88
2022	338	4	25.5
492	901	6	36.2
4448	110	3	7.95
8929	103	6	20.74
1722	1165	3	25.01
104	2100	7	4.19
1150	112	6	5.8
165	2014	3	11.21
133	4166	8	52.35
229	670	23	139.81
291	632	3	7.87
101	22538	3	10.1
1577	202	3	11.43
880	165	6	18.27
372	625	3	9.59
1329	354	5	29.12
757	122	11	20.67
2805	118	4	10.8
2195	113	5	10.62
1371	353	3	14.68
108	199	32	6.25
144	106	249	216.82
1185	146	18	97.92
326	450	4	10.98
539	176	94	717.47
23525	679	4	67.97
4016	508	37	540.3
3878	5963	4	62.48
3950	546	3	26.13
2188	105	21	59.71
148	102	308	64.32
107	17532	4	27.76
275	309	381	4110.54
656	653	5	28.07
121	478	78	348.44
603	199	8	27.05
503	187	8	22.26
9997	103	3	7.19
101	8665	7	11.66
104	10247	3	8.53
205	156	8	4.02
3359	457	5	44.59
418	1759	4	26.2
1502	184	3	10.21
2618	198	9	65.26
3607	103	10	18.91
2556	147	4	17.84
114	296	25	19.78
4829	151	11	93.24
743	403	11	69.86
446	4455	4	36.74
1404	161	4	13.26
3451	164	6	39.27
1562	1075	5	44.47
2073	104	15	25.86
3982	4841	3	43.23
337	173	11	25.06
334	823	4	16.32
121	1994	10	38.93
4141	103	7	11.29
5012	111	5	19.95
101	10181	9	25.94
440	115	20	24.56
951	1624	3	23.03
116	2486	6	17.4
508	6284	4	42.29
1163	3194	3	29.86
339	1655	5	31.57
16486	101	3	6.66
1395	4781	3	34.73
101	14306	5	14.01
1258	3528	4	44.23
207	1795	6	33.33
114	6708	4	18.61
1086	107	15	20.6
2336	7286	3	42.47
1568	1508	4	37.35
1217	990	3	20.99
1220	367	3	14.06
2690	105	12	27.16
647	102	44	13.28
1671	1277	15	177.39
1252	494	5	32.39
4770	402	12	139.43
19985	5097	3	60.03
711	2788	7	71.02
352	289	4	7.55
2078	449	3	19.65
574	819	3	14.29
205	118	37	34.03
7806	105	3	7.3
3297	375	3	22.09
101	12934	5	12.41
1836	108	7	13.18
208	503	67	490.54
122	133	50	18.01
120	916	10	20.32
118	1643	14	52.84
13383	124	3	21.78
20572	14	3	15.24
2887	752	3	25.96
1872	105	8	6.87
2546	875	5	48.28
207	5184	7	61.79
1016	1621	3	23.5
1773	7959	3	41.2
103	11507	3	8.67
917	113	26	80.56
13582	14	6	28.1
1697	435	7	53.51
111	2129	4	5.91
