166	34379	12
125	56181	1
131	27585	0
5982	24359	1
136	5490	24
101	38590	5
101	39505	2
114	22273	0
139	56656	19
799	95463	20
105	14282	11
231	52746	1
142	34544	14
991	70140	10
108	88053	15
102	28931	6
1212	7320	6
8192	36747	6
14	61448	37
1828	72412	10
101	40351	0
1942	59776	6
2434	53564	26
102	13672	33
101	37232	7
27049	95773	21
101	32230	30
9	45945	9
101	843	39
104	86816	17
2008	13490	6
32439	28952	12
103	77617	35
222	45986	5
360	24391	19
153	15889	29
4142	40446	15
1618	16671	44
2812	33316	29
14	94906	32
559	60366	33
296	72935	10
168	43420	16
107	14210	31
3173	10668	14
558	22932	13
186	52922	21
139	91428	8
2659	99941	2
1227	15190	15
298	61573	28
101	59894	32
922	24790	1
101	31693	0
14	67382	28
131	23491	7
1289	71677	24
103	10746	12
117	32571	18
14	3319	40
113	43330	6
64846	36045	26
337	55605	25
101	26286	15
5568	28920	24
12149	26928	41
4186	97091	28
101	41330	0
2428	5800	1
104	99163	8
115	26400	11
102	35378	9
102	81740	9
103	86137	6
119	14251	12
14	25558	25
109	42767	43
124	17682	2
26364	3829	2
1807	19794	20
109	20584	24
101	58251	2
2386	62428	44
2213	58272	15
5428	32822	24
179	49164	8
689	1891	0
115	50592	23
40396	94677	2
8933	82080	1
106	31365	25
197	54547	6
848	94419	8
475	91373	1
116	83019	5
547	24220	18
107	78320	11
714	69196	25
102	9309	18
702	80766	28
120	70848	2
404	62013	24
24829	51501	45
10277	28693	7
1012	92851	18
121	24998	16
108	77359	15
14	60882	17
23110	14435	9
240	4419	30
101	58437	0
104	71666	13
104	19994	20
17932	7827	8
14	89954	19
117	92357	14
529	60424	5
101	55464	0
155	31120	9
944	28582	12
115	12926	31
101	54153	5
124	44975	5
127	82887	12
135	39370	27
103	31594	26
5046	89902	4
101	65293	17
21330	13993	6
68417	66121	14
14	53567	17
173	46168	5
14	92334	22
118	83736	13
2104	65144	10
822	99255	21
38670	65394	33
101	63683	19
6264	4822	3
1545	23447	7
103	42523	24
3728	42763	44
819	25225	45
2455	73067	12
140	26561	9
26153	59541	21
5346	86447	4
103	71748	29
276	27070	12
821	49400	30
105	68784	3
318	84079	35
101	36908	32
361	58838	9
105	28574	4
392	2341	4
708	47576	39
4506	27539	21
105	65208	21
62222	89341	18
1772	75106	5
104	13697	2
608	74040	11
104	31435	32
136	2640	1
3245	60141	12
1876	26427	4
1685	73321	29
101	46228	0
1567	82244	24
17820	52839	22
174	52741	3
234	68457	8
150	7978	27
4509	95076	15
14	31455	30
605	68216	2
2141	76110	17
137	84255	10
147	80589	17
101	69734	8
150	88993	13
143	76966	8
370	18907	8
111	41841	29
11506	10332	6
137	51784	19
105	54770	3
404	34121	9
209	59292	21
500	32765	20
107	89129	23
112	77429	8
108	4415	15
1310	76504	3
7602	9756	0
129	65993	12
