631	1422	36	187.23
1652	1672	3	8.97
496	4567	3	8.13
128	312	153	36.74
7442	1157	3	18.3
1143	310	10	7.87
2224	226	16	35.73
16	1757	16	13.54
295	13412	3	14.41
158	1889	14	11.16
1718	163	16	14.46
266	13820	3	14.45
2740	1476	4	17.99
1402	9538	3	22.19
856	251	14	7.03
1481	4437	5	32.56
10285	1280	3	21.94
8747	424	5	27.04
695	4110	3	9.92
1303	886	5	9.93
126	3218	13	9.45
821	708	8	11.67
1843	706	5	11.36
353	10824	3	13.84
1301	102	181	12.92
13194	759	3	22.47
5643	198	4	7.9
1390	896	6	14.16
371	527	17	11.03
974	1992	7	25.99
1385	1265	5	14.59
8323	256	3	9.31
11875	112	8	18.28
494	2335	4	6.94
5547	2429	3	21.44
727	6467	12	100.82
436	194	43	19.73
28479	133	3	17.07
128	6875	8	13.24
910	1164	5	8.82
221	8167	3	7.33
1007	3453	3	11.18
45	9940	4	8.72
494	356	17	7.7
590	1883	13	48.78
724	5130	12	81.9
727	4470	3	10.64
18370	978	4	41.03
6022	126	14	35.71
3562	350	5	11.72
129	4647	10	11.82
5547	326	3	7.27
125	6198	12	23.36
345	8051	5	23.08
5125	3892	3	25.05
105	21108	4	7.45
4432	5580	4	37.66
557	1057	19	54.11
1385	3500	10	68.5
1830	8885	3	23.35
6598	1149	3	17
560	442	33	65.73
561	1617	8	18.49
9542	172	3	7.06
3116	739	3	8.34
531	322	29	32.91
769	1215	24	104.69
103	3842	44	23.28
293	146	100	23.12
1273	106	112	10.36
259	1414	10	8.38
5717	242	4	9.03
5305	197	12	44.35
191	3946	7	12.51
255	889	17	14.41
800	1095	9	21.41
102	3035	67	14.46
2779	1125	3	9.67
135	3137	17	25.53
39	2517	11	7.15
732	1781	4	7.68
319	189	61	22.01
2876	250	7	12.91
3382	1730	3	15.6
868	7029	3	15.99
4595	9459	3	32.04
229	2835	6	6.89
523	5537	9	54.46
732	4007	3	9.64
1692	946	4	8.97
5428	305	8	33.75
8634	124	9	22.51
132	1522	60	105.56
671	161	29	7.71
10612	165	3	7.1
1215	327	18	34.35
105	1236	128	17.43
195	329	102	119.82
3674	129	11	10.35
101	317	1214	228.83
194	452	35	11.11
102	680	426	82.99
2018	5311	5	38.02
103	1978	89	11.66
3158	1858	3	14.95
605	123	100	35.81
765	3054	3	7.95
380	8707	3	11.94
1209	1562	7	25.87
15825	116	4	7.23
706	509	36	110.68
14	1056	300	18.92
524	1972	11	35.59
12	3066	5	33.29
521	1570	5	6.78
672	4775	5	23.74
2083	115	35	19.92
1063	507	7	7.13
455	3391	6	18.88
556	439	17	16.03
136	4234	8	7.94
2593	674	4	10.04
2117	1703	3	10.81
491	1008	34	130.56
7584	327	3	9.61
1607	1886	4	14.8
248	23983	3	24.57
2979	256	6	10.77
997	2145	5	16.45
2948	1163	4	16.12
2470	845	3	7.08
6619	104	20	13.57
581	2507	12	50.64
1685	22684	3	34.11
623	10228	3	17.14
7198	246	4	12.46
211	9370	5	18.88
1891	463	65	441.27
2497	484	4	7.07
406	15325	5	38.99
15168	103	6	7.99
1475	2056	3	9.77
457	114	130	9.09
14553	1096	3	26.85
869	346	23	40.89
1480	112	42	7.13
364	1388	12	21.48
1543	1941	3	9.46
163	5532	5	7.79
11390	3196	3	30.06
304	8362	3	10.23
211	12112	9	62.44
969	2493	3	8.43
2563	621	4	9.51
9440	129	7	18.08
1062	209	34	57.38
673	5603	3	12.66
2344	10304	3	26.49
1026	165	20	8.56
1379	2904	3	14.19
1064	965	5	8.16
491	332	73	196.82
11034	227	6	30.51
245	9466	5	22.3
3040	789	3	8.32
14521	121	4	8.11
15690	13064	7	138.4
8061	217	3	7.23
934	3850	3	11.01
397	3012	9	30.18
5914	4456	3	27.17
607	5178	4	16.27
176	10020	4	12.04
5182	241	4	8.06
931	293	18	22.62
2978	692	4	11.94
13366	7878	3	40.99
4669	178	9	24.06
1443	491	6	8.1
395	533	24	29.76
6721	174	4	8.24
583	2411	5	12.12
8321	292	3	9.5
213	9339	3	8.03
360	184	48	10.89
3938	620	3	9.03
1987	265	18	50.56
