8	8854	4	30.81
1270	106	3	4.04
290	144	3	5.25
102	3029	4	5.58
106	3209	3	9.48
105	3589	4	14.05
824	982	3	28.59
3669	127	11	104.02
101	6722	5	14.66
3792	3041	6	104.18
1692	2034	3	38.1
101	1020	29	64.41
4877	136	3	22.3
872	7619	3	44.48
152	2415	3	19.87
1262	110	3	7.44
121	835	23	156.99
102	5291	5	14.86
103	2934	3	3.91
3544	5984	3	51.41
1787	102	8	12.57
131	210	9	20.09
159	1337	3	16.78
14864	1001	3	54.91
106	859	6	10.73
545	120	3	5.46
218	503	3	14.84
109	118	37	11.66
777	110	4	8.09
116	7165	4	30.91
5746	9540	3	58.64
2664	271	3	27.9
2787	105	3	7.11
1246	422	4	37.06
110	822	6	17.35
1726	227	4	33.38
8	4621	3	14.93
409	107	6	5.01
6643	102	3	7.41
109	3232	4	20.23
236	102	35	13.01
5642	101	6	17.3
437	110	4	4.3
1131	270	3	22.08
5286	103	3	7.22
3532	103	5	13.12
464	102	15	5.97
1072	128	5	23.13
101	10831	4	16.29
107	305	7	4.36
445	106	8	8.98
250	115	8	10.29
105	1041	4	4.4
1654	107	7	26.08
104	2357	6	18.97
101	1212	10	6.63
605	104	6	3.94
16	57	6	12.45
101	7809	3	6.89
4985	101	4	7.05
340	546	3	19.18
1066	9	3	5.55
101	746	47	120.36
229	400	4	20.82
102	2593	8	18.42
101	4439	4	5.87
101	7181	4	10.65
101	2167	9	13.48
124	1302	4	17.34
10135	103	3	13.49
112	1431	5	19.13
1621	9	3	7.91
177	2015	3	20.8
119	846	8	35.34
6504	194	7	89.59
558	106	7	9.12
101	8659	3	7.99
112	1678	5	20.92
4497	151	3	23.91
172	238	5	15.19
1215	2322	3	36.95
616	107	12	32.63
3115	105	3	7.87
101	16040	3	15.86
1675	104	5	10.35
109	383	17	56.49
139	288	3	4.69
891	201	3	17.33
857	103	10	10.9
172	1699	3	19.12
766	153	3	12.56
13716	14	3	14.52
1160	173	3	16.73
117	91	11	41.33
118	162	10	6.85
101	8989	5	21.18
2147	161	18	197.15
327	103	17	7.21
5042	126	3	20.88
101	11830	3	11.51
7332	145	3	26.81
116	314	6	8.9
616	135	7	31.52
178	1016	15	132.35
1677	170	5	36.96
176	278	5	17.92
2388	104	8	30.22
4923	140	3	22.68
1727	117	8	44.76
107	12007	4	36.09
785	4288	4	53.69
18595	122	3	33.68
1333	103	15	39.95
3418	112	3	14.15
224	184	3	6.83
103	234	23	5.56
104	2338	3	5.52
250	156	3	5.63
6250	14	3	7.32
101	17223	3	15.86
851	109	3	5.17
1141	168	4	24.22
195	216	12	60.61
105	1468	5	10.38
103	7290	3	9.85
1923	101	7	5.82
101	4781	5	10.29
101	4470	5	9.51
102	5122	3	5.67
101	785	24	30.42
228	249	9	50.16
589	173	7	41
248	252	7	37.37
1840	101	12	20.51
123	1648	3	12.58
737	136	3	9.86
171	101	122	62.64
176	479	10	62.36
1227	199	3	19.39
104	8358	3	14.2
472	201	7	43
203	295	4	16.01
17349	164	3	40.1
3780	107	4	17.82
1128	1168	5	58.47
401	119	4	6.54
7837	6673	4	82.24
374	2190	3	28.91
107	2721	3	9.44
1717	108	7	33.06
216	4863	3	29.79
4849	102	3	5.21
102	373	95	309.22
3033	102	4	5.58
7005	151	3	27.85
1566	1171	14	209.28
101	5051	4	7.05
1783	85	5	49.69
101	2449	9	15.87
101	329	126	357.97
701	749	7	72.62
103	1953	4	4.11
1062	770	3	28.67
526	415	3	20.28
283	143	9	32.03
183	847	4	23.2
3272	104	3	7.36
123	761	3	7.82
102	3496	8	23.97
164	8	41	80.09
580	150	13	83.32
8682	113	3	22.27
2531	102	5	7.06
109	1605	3	8.8
1630	102	7	8.23
6810	436	3	38.16
1878	449	3	28.98
2393	135	5	34.07
118	3048	3	15.38
208	696	40	440.48
1072	205	3	18.81
104	9689	3	15.4
244	1429	3	22.55
118	391	9	26.08
