124	1043	8	21.87
689	806	5	34.52
5289	109	4	13.62
4266	111	3	8.17
124	6618	3	14.96
1032	128	5	10.19
101	2401	42	132.51
1304	763	10	97.08
132	2511	6	26.48
309	551	3	9.52
160	3249	3	15.64
14155	1299	3	43.06
98	1048	33	31.36
101	308	76	13.83
1056	114	4	4.13
101	5007	21	73.35
2059	15496	4	66.16
387	175	18	76.74
415	187	9	29.27
1510	18918	4	65.66
661	4736	4	41.72
481	718	7	45.4
102	5717	4	5.65
2520	319	3	19.72
3482	103	12	32.13
102	8206	3	4.96
107	26286	5	47.12
104	3981	3	4.88
5297	103	4	6.18
218	3385	13	122.31
101	1015	23	9.04
5632	106	6	23.46
107	9196	3	11.67
105	8453	4	16.33
1448	104	45	211.76
425	102	53	41.2
996	137	4	8.04
34043	264	3	40.24
184	713	5	16.8
3750	125	6	30.39
2729	127	3	9.33
3912	335	3	23.16
4294	101	11	19.2
1559	9204	8	127.38
459	256	3	6.89
1444	283	5	30.04
2945	528	3	24.67
199	11904	3	27.94
22686	103	3	14.91
159	17578	4	41.3
754	107	11	10.92
102	20393	4	19.87
4710	528	21	287.61
415	3186	3	23.4
103	7148	3	5.11
926	102	14	4.14
388	6169	5	51.49
160	131	22	16.22
1201	164	4	15.21
101	1445	39	71.84
101	4144	37	167.21
314	244	3	4.11
313	358	18	100.92
162	162	13	17.45
132	1683	4	11.36
630	267	4	14.32
102	123	1352	3051.7
600	303	3	9.92
779	9591	18	310.09
101	5628	12	30.45
101	7369	14	51.9
6099	103	5	11.35
1469	1212	4	36.83
155	208	9	9.99
5351	125	3	13.4
338	1784	3	18
7847	110	3	12.24
8742	14	12	51.77
3917	11176	6	107.22
2827	101	8	4.21
3555	7938	5	80.85
2918	155	3	14.35
409	4592	5	48.5
108	3532	5	14.07
771	105	12	12.72
16	2974	9	37.11
674	2330	9	94.79
3382	234	4	28.18
12624	1705	9	159.78
5785	14	17	65.64
1180	1462	8	84.3
168	169	16	30.97
2233	1234	3	28.77
16	725	8	8.27
195	513	3	5.72
200	1370	4	18.41
110	493	11	8.58
122	9470	3	17.2
4018	14	23	82.44
207	508	4	10.09
117	2044	3	5.8
1217	1235	11	120.11
11773	154	4	35.69
142	3425	3	13.26
2820	106	5	10.25
