716	134	35	12.1
620	1661	4	7.75
119	32524	3	10.2
10770	12425	3	38.5
2154	423	4	6.99
2	674	42	27.31
121	1602	24	10.19
118	32648	4	20.49
301	3005	5	10.1
103	34196	4	8.36
134	15780	3	6.65
9	1231	52	72.92
2760	1242	3	11.8
122	427	75	7.71
29121	12	3	19.06
241	2947	11	30.07
4839	132	12	20.86
689	806	6	8.68
102	17255	7	7.49
242	2823	7	13.12
3009	7537	3	25.23
690	162	31	29.1
1197	219	16	25.6
655	595	7	8.47
1207	17773	3	26.53
5585	8267	3	29.86
149	628	33	16.17
1871	246	7	8.67
689	2924	4	13.23
1259	198	28	65.04
967	6208	3	15.77
340	915	13	21.24
11302	102	13	10.86
280	17033	4	22.29
657	3430	3	8.96
2379	184	13	27.25
655	2177	4	10.21
4266	111	16	11.56
3750	2790	4	28.07
3009	5428	3	22.6
4742	454	3	9.23
338	180	32	9.15
1833	326	5	6.72
121	3210	25	44.32
486	6666	3	11.23
1322	526	8	19.13
2351	890	3	8.79
130	20462	3	7.64
13222	152	6	30.52
13186	16	9	22.6
29062	19504	3	54.43
2313	14	94	19.03
627	2966	3	8.06
3366	1255	4	21.06
810	1084	6	13.65
2346	1253	3	10.6
274	744	22	36.91
107	8486	11	11.9
361	154	45	13.85
132	39946	3	17.31
195	9365	4	12.95
1380	1628	4	14.74
12603	1207	5	44.58
1477	1277	3	8.52
7198	605	5	27.61
105	9229	12	17.45
5663	1353	3	17.2
13438	3349	4	44.55
3014	287	6	13.07
902	1156	4	8.18
9820	106	16	36.82
1055	19939	5	55.63
8380	457	3	13.79
931	1903	4	11.76
3453	1347	3	13.56
134	10071	6	14.62
124	6618	13	32.56
346	16266	3	16.22
6623	480	3	11.26
1095	2930	6	30.93
8252	326	3	10.49
900	368	10	13.07
4516	3070	4	31.33
3134	827	3	9.79
583	1131	5	8.28
128	20760	4	14.15
488	1802	5	10.84
933	3143	3	10.61
993	533	6	8.77
2118	212	8	12.43
1505	624	9	29.22
996	934	12	45.06
15034	1749	3	26.67
1464	12623	3	24.41
45	4659	4	6.93
1716	21805	4	45.47
245	7906	4	12.78
4447	1744	3	17.18
2287	6786	4	32.19
4544	349	3	7.23
339	6374	4	15.19
126	38768	3	16.41
130	37216	3	16.69
3071	132	11	8.72
1028	1635	10	48.38
4132	497	3	8.93
4095	130	11	11.77
106	11215	9	10.43
9170	9536	4	51.46
1032	128	27	10.89
7617	219	3	7.11
1060	119	39	11.27
182	4565	5	8.58
15241	1379	3	26.09
103	3586	33	9.09
388	4754	3	7.85
14	3834	56	12.56
253	2057	9	16.63
250	102	819	158.5
143	12410	6	22.36
1265	104	82	42.26
102	3950	38	17.59
786	33328	3	29.31
1304	763	11	42.18
4176	171	14	49.41
249	477	27	26.67
191	2421	7	7.4
101	2401	93	124.69
132	2511	21	29.75
9228	14	18	7.48
391	22087	6	58.17
206	13983	3	11.78
1749	1031	8	34.7
218	1707	23	66.56
1840	610	4	8.82
35371	199	3	26.21
221	197	1669	14584
162	4040	7	12.39
351	4364	4	10.69
35712	35048	3	68.49
315	1356	9	14.94
160	3249	11	25.49
14155	1299	3	24.47
134	30935	3	13.77
131	402	62	11.12
157	1006	23	20.81
378	41406	3	28.83
1331	2530	5	24.37
1054	4323	3	13.31
125	1126	32	16.46
11599	507	5	32.77
1653	206	9	11.98
159	1138	23	29.35
819	2346	5	18.17
1240	2171	3	10.01
158	221	1669	12611.7
4818	778	3	12.45
4912	494	4	14.56
1749	2759	4	20.8
628	1455	4	6.92
10603	162	3	7.25
