573	3177	16
450	12927	10
1193	10165	8
105	2754	23
176	10575	2
54244	21703	14
132	11528	13
812	26279	3
57684	29107	14
5334	3886	5
104	8295	2
206	9165	3
3149	5019	16
102	26276	16
271	18209	9
101	16651	30
301	2674	3
1001	14495	31
108	417	25
102	9309	18
30809	17803	7
116	630	7
24053	9021	15
8634	16152	7
101	16122	0
105	22610	1
1147	26410	4
46825	8812	12
2043	1437	12
25645	25744	13
2895	5744	2
149	25777	13
103	27366	18
114	3530	8
1372	15981	7
14	29411	42
126	2335	22
19240	5765	16
492	6742	5
12830	27891	6
103	27131	35
145	21186	19
1235	28164	41
101	25866	5
364	29907	20
787	20154	9
454	18192	10
3646	12736	12
21259	16690	5
610	22341	5
48859	8071	11
118	11294	0
5507	26453	22
77903	6807	8
102	17061	11
38492	18618	8
367	7635	36
2806	17679	16
14	26201	13
123	13193	16
945	1046	5
151	5005	8
67167	20865	38
114	4689	42
218	16343	10
8301	18731	22
130	23348	5
8907	9000	18
310	10150	2
5932	11857	1
2415	8078	10
145	17765	5
507	17137	27
101	17226	8
136	3548	8
1017	499	7
1778	26684	9
272	8832	7
104	27696	17
34157	22735	20
3928	20492	10
10218	17678	22
14	28999	32
14	9070	13
2020	28399	11
59246	21647	6
103	16904	14
108	18135	15
15549	12340	35
1313	3436	12
111	14721	11
117	20819	21
427	6778	11
3386	17611	10
173	315	41
1781	96	30
1243	28019	14
101	11036	0
102	7487	6
110	12233	30
159	18450	1
1505	6699	13
103	23138	3
56728	14673	15
108	17424	15
388	26483	1
1594	28465	13
126	12986	2
1968	24102	19
8	13098	39
105	15130	33
1293	5231	45
1422	12065	1
2830	16948	16
101	14423	8
227	20348	4
102	16275	21
149	25116	5
354	10228	6
240	11560	8
220	19091	25
673	3330	3
122	25626	27
198	2305	14
4249	12054	16
20997	17545	21
115	18545	1
590	2029	15
197	22728	15
146	11284	33
1527	10625	12
848	22020	13
4590	11366	8
960	3906	7
101	19273	17
115	25403	23
107	15808	16
769	5715	16
102	16482	11
2952	15317	11
3714	4170	17
101	22058	30
15646	8771	2
785	12199	1
738	21420	1
106	14586	13
126	14535	32
107	15339	14
102	20491	31
313	13097	23
216	4480	32
9	5593	14
14	17211	28
104	27512	5
103	29863	1
8378	16395	9
16940	4335	19
721	12869	5
102	1777	1
14	16238	8
113	7229	11
140	23912	34
2296	2165	19
14	7941	27
437	15162	6
764	16654	25
29979	15244	17
189	22376	31
11159	26090	11
103	7409	9
38350	6649	21
868	12143	11
101	17895	0
375	10191	6
164	17143	20
104	16523	40
66300	15387	22
102	29636	6
103	24404	44
121	7384	26
154	12268	1
131	29601	18
115	22198	4
103	15743	6
539	7130	6
5829	20899	22
2977	14142	24
2176	6396	12
109	17829	11
332	11721	13
106	23975	10
75509	11328	4
143	1999	11
5988	14303	24
129	28301	48
214	4715	7
14	1549	8
101	14771	0
63781	11207	39
3024	1586	4
104	26936	7
3319	1942	12
4625	11257	1
14	15662	10
4190	11637	25
657	25013	10
54321	9411	38
34481	7727	22
195	23331	40
102	10704	11
5242	11505	18
101	22059	10
251	27841	29
106	9341	10
204	15028	4
331	13949	21
2368	23883	19
14	8465	34
14	17652	10
142	16452	0
1693	28847	16
1429	14236	22
59564	26032	10
3585	21692	0
846	18485	30
310	2532	2
102	23781	12
105	7650	3
2067	5010	43
102	8533	4
115	13291	3
160	24710	2
103	21709	6
1606	16072	7
102	7261	24
67835	7485	31
102	12505	12
101	15833	8
123	27327	1
101	11349	0
1395	16519	12
113	15447	12
12668	25198	18
124	26627	10
103	25345	3
240	9095	13
3634	19885	12
5110	9734	2
9085	27450	8
106	24067	0
383	26838	22
226	4122	0
242	11808	19
14	7768	40
255	9018	37
3410	26395	4
116	21024	5
59231	5877	21
9	4183	14
726	20372	16
6372	27996	11
104	3621	2
114	16639	5
365	28867	3
7108	27786	9
373	13023	16
32029	1484	4
1769	27562	8
14	21461	10
14800	13162	1
1445	20840	4
3025	26495	20
506	6900	24
12995	25730	25
101	27755	2
5618	17211	27
134	9374	8
137	11438	14
499	675	6
5881	8090	9
166	22570	25
105	15041	4
851	11107	31
111	21593	3
406	12200	31
127	23626	9
900	1503	10
3913	15974	20
14	12798	32
1117	14558	22
24551	24431	1
1675	23326	15
115	7592	23
2056	25264	2
109	8767	12
61080	16938	5
14	11713	8
271	2358	24
141	11957	31
20964	24733	26
1657	8539	5
32863	12174	31
408	2923	13
102	4725	31
1680	18819	4
116	8732	0
2010	3467	1
6284	24744	4
14	17611	39
1885	7860	7
101	9651	5
3556	26531	8
43377	21033	1
26384	12258	23
13571	28202	8
117	8004	4
124	310	8
123	3941	4
106	10837	13
1931	27830	12
876	21504	11
7726	7320	8
28561	23363	26
237	29999	11
101	17760	2
265	5786	8
119	8442	12
119	14935	1
102	24519	16
137	16227	16
120	13258	15
60213	3565	9
175	14399	3
1442	24524	10
102	28613	23
6575	11250	14
1257	25090	23
20315	13199	1
120	6501	5
8098	29471	9
3584	27087	23
230	6467	19
27380	5104	4
102	24098	12
244	10811	15
906	15351	10
2224	5727	2
234	11412	7
256	10286	18
240	6178	25
729	14119	5
12844	1606	5
477	5668	12
110	26444	42
196	22455	36
1379	25750	4
366	5366	5
104	23549	0
2325	9421	7
1257	8478	9
1109	4754	15
105	9562	38
101	3256	5
108	19474	2
105	8903	19
117	9357	10
590	4710	1
113	20160	19
104	13121	4
1320	15136	4
212	20081	14
27934	5856	17
2963	8341	7
377	15202	3
790	23075	32
37597	15978	44
110	19070	21
1890	1629	30
3392	17729	24
1047	27137	7
138	2474	26
104	2146	6
9982	27491	21
270	11735	16
7355	28427	44
117	19675	2
737	26967	9
133	17251	30
101	3154	9
154	16892	25
102	13982	8
101	10770	4
101	12479	9
103	29444	13
5098	8121	22
73111	19362	16
102	18902	45
107	17974	8
787	2691	13
102	10776	27
527	10095	3
225	5545	22
102	7167	0
133	25891	19
107	23381	7
32827	14573	21
165	8679	8
113	8381	5
111	17137	5
389	3039	18
1659	146	3
254	20492	0
522	5158	0
117	18925	45
376	22609	40
11485	8665	1
555	11857	3
19514	12012	1
206	845	8
18362	17278	9
70919	12593	22
8202	24012	20
580	23136	26
7892	22384	20
742	18592	13
2251	15469	3
317	7381	29
101	19236	31
639	719	26
679	225	0
112	23301	31
207	18364	24
34052	18666	25
286	23355	2
6115	112	2
6355	10395	11
56060	29578	12
101	14394	6
108	25149	12
4671	13739	16
129	10890	13
8	27215	1
211	14570	28
364	26444	41
114	15651	23
102	27698	42
13142	25633	20
120	24313	31
129	8619	8
112	11824	24
1311	2907	8
104	28314	31
14	10695	26
101	15667	4
1074	11557	9
20154	9122	9
6982	21710	5
113	21404	49
101	10142	9
8	21419	3
76070	4638	1
145	15570	11
189	19168	8
14812	4101	0
841	19057	10
1012	17195	12
36738	28398	19
107	19039	25
515	21563	14
1648	29617	9
115	1320	22
125	9454	13
247	11912	20
101	17641	4
37510	24201	4
108	7918	14
1242	7513	14
115	27477	0
14	16188	43
9802	23602	2
101	24132	9
395	13967	9
65840	28518	28
103	11288	22
59556	10243	20
23092	790	5
106	2642	4
250	16466	24
103	12446	5
108	12012	9
3392	20198	11
14	24607	29
113	20387	25
14	4701	35
102	16248	13
21796	27539	11
106	17925	23
114	1670	3
9	27880	22
49824	21334	25
133	28739	5
9	29067	25
2055	14477	39
2104	11480	9
