4988	1
2659	2
1295	3
2	4
192	5
6494	6
517	7
367	8
1218	9
25	10
4474	11
3889	12
234	13
11977	14
4270	15
1657	16
15144	17
1	18
1	19
1111	20
3457	21
2222	22
393	23
2687	24
3946	25
832	26
1858	27
1433	28
2286	29
3223	30
5229	31
3586	32
651	33
746	34
4283	35
1433	36
971	37
542	38
3932	39
2989	40
2838	41
5651	42
313	43
5651	44
1	45
6658	46
1548	47
11	48
971	49
5	50
3471	51
2687	52
1	53
1111	54
3223	55
393	56
6432	57
234	58
832	59
1	60
2876	61
1497	62
995	63
982	64
975	65
509	66
1843	67
889	68
2338	69
651	70
25	71
2684	72
267	73
1657	74
2405	75
5757	76
1497	77
3471	78
3223	79
14491	80
1548	81
14	82
1858	83
747	84
1111	85
832	86
5651	87
4283	88
2405	89
982	90
234	91
1	92
509	93
2876	94
579	95
5229	96
883	97
4965	98
2295	99
651	100
995	101
1880	102
672	103
441	104
2303	105
3159	106
1295	107
1843	108
995	109
728	110
1433	111
1497	112
1858	113
1111	114
2401	115
234	116
393	117
1239	118
832	119
897	120
1218	121
6577	122
509	123
4678	124
6432	125
747	126
579	127
651	128
1	129
5408	130
2295	131
1	132
1497	133
1051	134
1111	135
393	136
747	137
1239	138
832	139
579	140
982	141
1548	142
1433	143
608	144
509	145
10010	146
995	147
2043	148
10010	149
2586	150
14411	151
2405	152
1557	153
5463	154
747	155
6432	156
1111	157
234	158
579	159
2295	160
2687	161
1433	162
832	163
971	164
1843	165
995	166
880	167
1304	168
509	169
2876	170
1548	171
7875	172
1218	173
2687	174
2295	175
1557	176
2405	177
11001	178
971	179
651	180
393	181
832	182
747	183
579	184
303	185
367	186
2401	187
2876	188
995	189
1472	190
2401	191
971	192
234	193
393	194
832	195
747	196
367	197
651	198
1843	199
995	200
579	201
1038	202
579	203
1433	204
1111	205
234	206
393	207
832	208
367	209
336	210
2401	211
1548	212
202	213
676	214
676	215
676	216
747	217
393	218
832	219
634	220
5672	221
367	222
956	223
331	224
2687	225
1548	226
579	227
5	228
2070	229
1843	230
2451	231
541	232
967	233
74	234
14	235
1919	236
185	237
492	238
1	239
2251	240
2455	241
2636	242
12031	243
3813	244
1814	245
799	246
5660	247
531	248
643	249
3500	250
486	251
1069	252
3	253
356	254
510	255
746	256
12594	257
185	258
205	259
3282	260
3877	261
1295	262
967	263
3196	264
46	265
1497	266
313	267
13062	268
1017	269
4283	270
3293	271
2106	272
311	273
797	274
1308	275
1	276
313	277
5360	278
498	279
313	280
799	281
1175	282
971	283
235	284
1657	285
1	286
2286	287
2222	288
3300	289
393	290
6078	291
1399	292
6452	293
799	294
1	295
390	296
3726	297
799	298
68	299
454	300
313	301
832	302
651	303
4971	304
674	305
2989	306
1557	307
2405	308
8792	309
1399	310
9787	311
25	312
627	313
3774	314
6803	315
39	316
2625	317
3402	318
2494	319
2295	320
3460	321
2219	322
171	323
975	324
8	325
3586	326
424	327
1448	328
509	329
3524	330
1326	331
6632	332
7030	333
303	334
7226	335
6956	336
4474	337
889	338
3031	339
1009	340
1032	341
3131	342
1697	343
474	344
1814	345
1814	346
367	347
1858	348
3686	349
6779	350
2338	351
2285	352
3651	353
3661	354
2785	355
1111	356
3932	357
1548	358
498	359
1814	360
25	361
883	362
2684	363
2304	364
2216	365
3889	366
313	367
995	368
93	369
692	370
676	371
676	372
3777	373
676	374
676	375
193	376
462	377
676	378
676	379
717	380
11	381
1106	382
13861	383
10515	384
5661	385
14034	386
6380	387
6111	388
8046	389
7954	390
367	391
1111	392
393	393
832	394
747	395
5672	396
12235	397
6674	398
12666	399
393	400
1126	401
1111	402
5672	403
303	404
1548	405
2551	406
1548	407
747	408
393	409
323	410
234	411
393	412
404	413
414	414
3106	415
2401	416
234	417
393	418
942	419
8631	420
747	421
393	422
323	423
900	424
923	425
747	426
393	427
283	428
1295	429
747	430
393	431
961	432
490	433
234	434
2401	435
393	436
747	437
52	438
2401	439
747	440
393	441
1111	442
107	443
1139	444
377	445
234	446
1679	447
5	448
799	449
13122	450
2070	451
1308	452
1	453
68	454
185	455
2808	456
492	457
74	458
3471	459
3688	460
356	461
2455	462
967	463
3813	464
2304	465
1	466
1009	467
3	468
1069	469
4793	470
5660	471
1355	472
498	473
8792	474
1069	475
3258	476
313	477
3661	478
416	479
746	480
1368	481
1843	482
3500	483
6804	484
3904	485
2266	486
3877	487
1025	488
1497	489
13062	490
4965	491
2219	492
3586	493
25	494
1607	495
3801	496
3	497
797	498
799	499
474	500
799	501
1	502
1295	503
1009	504
11902	505
1858	506
7030	507
185	508
1	509
2222	510
1670	511
393	512
799	513
531	514
415	515
205	516
6078	517
2636	518
10233	519
4971	520
454	521
1	522
2219	523
6452	524
4411	525
1009	526
3797	527
651	528
3946	529
799	530
832	531
2222	532
1069	533
3321	534
579	535
1175	536
313	537
1	538
5	539
3651	540
1	541
313	542
93	543
1	544
2219	545
1557	546
25	547
3104	548
2654	549
1452	550
1032	551
542	552
2838	553
674	554
1670	555
2285	556
367	557
799	558
2494	559
74	560
2808	561
3686	562
6792	563
2989	564
20	565
3293	566
171	567
3056	568
234	569
3087	570
6632	571
509	572
11231	573
9787	574
313	575
498	576
1326	577
1557	578
3726	579
303	580
303	581
7226	582
5360	583
3300	584
474	585
1814	586
1017	587
2887	588
390	589
1677	590
643	591
6779	592
14061	593
12258	594
6489	595
629	596
1472	597
3173	598
9458	599
3031	600
203	601
203	602
6489	603
25	604
1009	605
486	606
2785	607
3460	608
10172	609
2106	610
1452	611
3	612
2654	613
6956	614
3282	615
1399	616
2125	617
510	618
995	619
975	620
747	621
520	622
1194	623
1077	624
56	625
2169	626
56	627
234	628
393	629
234	630
234	631
393	632
195	633
4797	634
393	635
234	636
1411	637
234	638
393	639
3721	640
3721	641
778	642
234	643
522	644
393	645
347	646
713	647
9826	648
1958	649
563	650
611	651
1843	652
3686	653
3500	654
2451	655
1	656
3293	657
542	658
1919	659
3460	660
6792	661
1	662
967	663
356	664
3	665
4965	666
2989	667
4793	668
5660	669
415	670
3031	671
3056	672
3560	673
3889	674
1069	675
2654	676
2785	677
185	678
3904	679
5933	680
3196	681
46	682
3338	683
2808	684
5360	685
11902	686
2405	687
799	688
5	689
4940	690
747	691
3	692
474	693
1	694
531	695
454	696
799	697
15672	698
2494	699
6452	700
1	701
2636	702
628	703
1032	704
9028	705
313	706
4283	707
1239	708
58	709
14	710
20	711
1	712
799	713
832	714
1399	715
510	716
1452	717
2266	718
1175	719
9030	720
1295	721
5229	722
9787	723
1399	724
3688	725
2566	726
5319	727
1	728
1111	729
4903	730
74	731
4474	732
2887	733
2838	734
234	735
6562	736
367	737
1017	738
2614	739
171	740
1497	741
6510	742
1298	743
3586	744
492	745
313	746
3282	747
2125	748
889	749
1858	750
1355	751
3457	752
4411	753
25	754
3651	755
1697	756
74	757
474	758
1814	759
390	760
643	761
3263	762
81	763
2136	764
5319	765
3924	766
12335	767
11722	768
11722	769
11312	770
11601	771
11434	772
6559	773
2219	774
2106	775
11703	776
1175	777
2654	778
3	779
1557	780
1025	781
25	782
3801	783
2684	784
7030	785
1009	786
1009	787
541	788
2625	789
4971	790
995	791
3932	792
190	793
91	794
669	795
968	796
574	797
12426	798
574	799
2628	800
7644	801
1200	802
1024	803
13418	804
799	805
416	806
2451	807
883	808
1584	809
492	810
542	811
3813	812
799	813
2455	814
1009	815
889	816
5660	817
2687	818
3457	819
1	820
390	821
2266	822
1368	823
746	824
797	825
674	826
3877	827
799	828
3031	829
171	830
3688	831
1858	832
3904	833
4903	834
3	835
474	836
967	837
1814	838
2808	839
4793	840
1	841
58	842
6452	843
3797	844
7560	845
3801	846
6078	847
393	848
2887	849
531	850
1239	851
3300	852
1	853
10488	854
2219	855
1	856
1670	857
1399	858
651	859
3946	860
8552	861
832	862
185	863
2636	864
2219	865
25	866
2614	867
2684	868
799	869
967	870
313	871
3889	872
975	873
2494	874
643	875
474	876
1111	877
486	878
643	879
2838	880
1497	881
987	882
2401	883
982	884
2405	885
2628	886
1843	887
46	888
1069	889
3651	890
486	891
3586	892
4474	893
3087	894
2125	895
1308	896
1657	897
303	898
9030	899
454	900
1	901
2295	902
313	903
1032	904
5360	905
1697	906
3338	907
474	908
3460	909
1355	910
2136	911
6779	912
4241	913
4241	914
8879	915
8879	916
7532	917
6959	918
4857	919
367	920
2106	921
2566	922
1	923
337	924
1295	925
185	926
2625	927
995	928
313	929
3293	930
126	931
714	932
3770	933
13517	934
1739	935
2033	936
162	937
3673	938
12818	939
2429	940
1278	941
2803	942
1858	943
5319	944
4965	945
1843	946
4838	947
540	948
441	949
1	950
12712	951
2625	952
1497	953
492	954
3457	955
5660	956
6078	957
1670	958
3056	959
3338	960
3031	961
674	962
313	963
1433	964
1069	965
14	966
3	967
1557	968
1069	969
975	970
2687	971
1399	972
2636	973
3471	974
2566	975
416	976
3889	977
2625	978
2106	979
1295	980
6792	981
1239	982
1	983
3801	984
1657	985
1	986
3946	987
832	988
313	989
6658	990
313	991
3797	992
1	993
2266	994
6803	995
2808	996
643	997
1111	998
3300	999
46	1000
987	1001
982	1002
3686	1003
2008	1004
3661	1005
2405	1006
1557	1007
3877	1008
2219	1009
486	1010
1	1011
5020	1012
509	1013
5651	1014
3087	1015
2295	1016
11154	1017
4988	1018
5601	1019
746	1020
1308	1021
971	1022
883	1023
747	1024
2125	1025
3904	1026
5360	1027
1697	1028
3282	1029
2285	1030
2342	1031
2834	1032
461	1033
7892	1034
1472	1035
4654	1036
3223	1037
2251	1038
203	1039
1924	1040
2844	1041
531	1042
3932	1043
390	1044
1025	1045
367	1046
11703	1047
995	1048
1355	1049
2838	1050
2684	1051
3688	1052
454	1053
2614	1054
4988	1055
320	1056
14506	1057
11	1058
11619	1059
15184	1060
461	1061
310	1062
468	1063
3460	1064
1355	1065
1	1066
2219	1067
5	1068
3223	1069
3117	1070
4283	1071
1448	1072
563	1073
3877	1074
390	1075
171	1076
2106	1077
4474	1078
25	1079
2566	1080
1308	1081
531	1082
1557	1083
2222	1084
975	1085
20	1086
3338	1087
1399	1088
6792	1089
3586	1090
2494	1091
7560	1092
1	1093
3471	1094
651	1095
1239	1096
2684	1097
832	1098
25	1099
3688	1100
313	1101
1843	1102
3904	1103
2295	1104
971	1105
2266	1106
747	1107
2286	1108
1	1109
3797	1110
1218	1111
4965	1112
1111	1113
6956	1114
3813	1115
2989	1116
1032	1117
39	1118
416	1119
2808	1120
1433	1121
3087	1122
995	1123
509	1124
13265	1125
313	1126
1607	1127
1657	1128
303	1129
